armed,age,gender,race,state,mentalillness
knife,26,M,W,OK,0
gun,33,M,H,AZ,1
gun,27,M,H,CA,0
gun,25,F,B,GA,0
gun,53,M,B,VA,1
gun,53,M,W,TN,1
unarmed,42,M,O,CA,1
metal object,22,M,H,TX,0
gun,52,M,W,DE,0
gun,36,M,W,UT,1
gun,30,M,B,TX,0
gun,34,M,O,TX,0
gun,44,M,H,NM,0
gun,53,M,W,KY,0
toy weapon,36,M,W,WA,1
unarmed,29,M,B,CA,0
knife,32,M,A,CA,0
gun,46,M,W,VA,1
gun,18,M,W,NC,0
knife,72,M,,GA,1
knife,38,M,W,NY,0
,21,M,B,CA,0
sword,35,M,W,AZ,0
gun,58,M,W,NY,1
gun,48,M,B,LA,0
,31,M,B,MN,0
gun,47,M,W,WA,0
,34,M,B,MD,0
,30,M,B,TX,0
knife,28,M,W,FL,1
gun,28,M,B,FL,0
undetermined,40,M,W,CA,1
gun,46,M,O,HI,0
gun,37,M,W,MI,1
gun,53,M,W,FL,1
gun,41,M,W,IL,1
toy weapon,42,M,W,CA,1
gun,45,M,B,IL,0
gun,34,M,W,CA,1
gun,18,M,W,FL,1
sword,27,M,W,NM,0
unarmed,54,M,H,VA,0
gun,35,M,W,AR,0
gun,17,M,W,CO,0
gun,29,M,B,PA,0
gun,38,M,B,KY,0
gun,26,M,B,NE,0
knife,52,M,W,OH,0
knife,39,F,W,WY,0
gun,22,M,H,TX,1
knife,29,M,B,FL,0
knife,43,M,W,SC,0
knife,24,M,H,NJ,1
gun,32,M,B,SC,0
toy weapon,40,M,W,PA,0
gun,47,M,W,MO,0
gun,40,M,W,AZ,0
gun,25,M,B,MI,0
gun,31,F,W,TX,1
knife,36,M,B,AL,1
gun,51,M,B,NY,0
undetermined,24,M,W,LA,0
gun,62,M,W,WA,1
knife,39,M,W,NJ,0
toy weapon,24,M,W,OK,1
knife,57,M,W,GA,1
unarmed,20,M,O,CA,0
screwdriver,33,M,W,CA,1
gun,60,M,W,SC,0
gun,32,M,B,CO,0
gun,40,M,B,GA,0
lawn mower blade,18,M,W,MI,0
knife,36,M,B,NJ,0
gun,35,M,W,OK,0
gun,55,M,W,OR,0
unarmed,19,M,W,AZ,0
toy weapon,39,M,H,TN,0
gun,40,M,,OR,1
toy weapon,47,M,W,TX,0
gun,23,M,W,NY,1
knife,26,M,B,MA,0
knife,26,M,W,TX,1
gun,18,M,H,TX,1
knife,33,M,H,TX,0
gun,56,M,W,NJ,1
gun,46,M,H,CA,0
unarmed,36,M,H,NM,0
gun,50,M,H,CA,0
,45,F,W,WV,0
gun,53,M,W,FL,0
gun,45,M,H,CA,0
box cutter,42,M,W,TX,1
gun,27,M,H,CO,0
gun,30,M,B,CA,0
gun,36,M,W,FL,0
gun,58,M,W,WA,1
gun,54,M,,IN,1
knife,30,M,H,CA,1
gun,69,M,W,AZ,1
unarmed,30,M,W,OH,0
gun,45,M,W,TX,0
gun,22,M,B,OH,0
unarmed,28,M,W,IA,0
gun,19,M,B,NY,0
gun,40,M,B,FL,0
gun,86,M,,TN,1
undetermined,46,M,B,FL,0
gun,28,M,H,TX,1
knife,22,M,H,NJ,1
toy weapon,17,F,W,IN,1
gun,46,M,W,IN,0
flagpole,35,M,B,KY,0
guns and explosives,35,M,W,TX,1
,28,M,H,CA,0
gun,15,M,W,FL,1
unarmed,22,M,B,CA,0
gun,28,M,H,CA,0
gun,31,M,N,ND,0
gun,40,F,W,AL,0
gun,48,M,W,NM,1
knife,58,M,W,NY,0
knife,44,M,H,MA,1
gun,21,M,B,OH,1
gun,50,M,H,CO,0
gun,23,M,B,IL,0
unarmed,24,M,H,CA,1
cordless drill,49,M,W,TX,1
gun,60,M,W,NC,0
gun,35,M,H,CA,0
gun,29,M,W,GA,1
gun,20,M,B,PA,0
unarmed,34,M,W,IN,0
knife,22,M,W,KS,0
knife,49,M,W,TX,1
gun,32,M,W,NE,0
gun,26,M,B,VA,0
unarmed,41,M,B,MD,1
gun,61,M,W,CA,0
gun,49,M,W,NY,0
gun,28,M,H,TX,0
gun,35,M,W,OK,0
toy weapon,29,M,W,OR,0
gun,51,M,W,NY,1
gun,52,M,W,NC,0
,24,M,B,OR,0
gun,32,M,W,OR,0
toy weapon,45,M,W,MA,1
knife,60,M,A,CA,0
unarmed,23,M,B,FL,0
